Wiederaufnahme der Sitzungsperiode	Resumption of the session
Ich will es aber nicht beim Schulterklopfen belassen, sondern will auf die Bereiche eingehen, in denen Sie weiterhin Kritik üben, bzw. weitere Maßnahmen fordern, nämlich im Bereich der Personalpolitik und der Außenhilfe.	But I want to do more than just give pats on the back, and instead go on to look at the areas where you continue to voice criticism or rather, demand that further measures be taken, namely in the fields of staffing policy and external aid.
Im Personalbereich haben Sie in Ihrem Bericht insbesondere die Frage der Rechtsgrundlage für die Vorruhestandsregelung angesprochen.	As far as staffing policy is concerned, in your report you specifically focused on the issue of the legal basis for the early retirement scheme.
Ich darf noch einmal darauf hinweisen, dass die Kommission vor Weihnachten einen Vorschlag beschlossen hat, der sich inzwischen im Konsultationsverfahren zwischen den Institutionen befindet und dem Parlament im Februar zugeleitet wird.	I would again draw attention to the fact that, before Christmas, the Commission adopted a proposal that is now undergoing the consultation procedure between the institutions and will be forwarded to Parliament in February.
Die Eckdaten sind: Für 600 Personen soll eine Vorruhestandsregelung möglich sein.	The key figures are as follows: it should be possible for 600 people to participate in the early retirement scheme.
Wegen der Budgetneutralität sollen aber nur 248 Neueinstellungen erfolgen.	However, owing to budgetary neutrality there are to be only 248 new appointments.
Wer kommt für die Regelung in Frage?	Who will qualify for the scheme?
Voraussetzung ist, das die Beamtin/der Beamte mindest 50 Jahre alt und mindestens 10 Jahre im Dienst ist.	It is conditional on the official being at least 50 years of age and having been in service for at least ten years.
Die Regelung sieht weiterhin vor, dass je nach Alter und Dienstzugehörigkeit 60 %-70 % des Gehalts als Vorruhestandsgeld gezahlt wird.	The scheme also makes provision, according to a person' s age and service affiliation, for 60-70% of their salary to be counted as early retirement money.
Die Maßnahme ist freiwillig.	It is a voluntary scheme.
Es besteht auch kein Rechtsanspruch, sondern die Kommission wird nach objektiven Kriterien auswählen, wer die Vorruhestandsregelung in Anspruch nehmen kann, um über dieses Auswahlverfahren sicherzustellen, dass das Ziel, nämlich eine generelle Effizienzerhöhung im Personalbereich, auch tatsächlich erreicht wird.	Nor is there any legal entitlement, instead, the Commission, using objective criteria, will select who is able to take up early retirement, thereby ensuring that the object of the exercise, i.e. an overall increase in efficiency on the staffing front, is actually achieved.
Der zweite Punkt in der Personalpolitik betrifft die Disziplinarverfahren.	The second aspect relating to staffing policy concerns the disciplinary procedure.
Das Parlament hat in seinem Bericht vom Januar eine externe Kammer für Haushaltsdisziplin beim EuGH oder beim Europäischen Rechnungshof vorgeschlagen.	In its January report, Parliament proposed that an external chamber for budgetary discipline should be set up within the European Court of Justice or Court of Auditors.
Sie haben diesen Vorschlag auch heute wieder erwähnt.	You have also mentioned this proposal again today.
Ich darf die Gründe, die mein Kollege Neil Kinnock sehr ausführlich dargelegt hat, warum die Kommission von diesem Vorschlag Abstand nimmt, nochmals zusammenfassend nennen.	I think I should just run through the reasons again - which my colleague Neil Kinnock has outlined in great detail - as to why the Commission has distanced itself from this proposal.
Die Europäischen Verträge weisen dem Rechnungshof bzw. dem Europäischen Gerichtshof spezifische Aufgaben zu: der Rechnungshof ist für die externe Kontrolle der Finanzen zuständig, und der EuGH hat die Funktion, gegebenenfalls die Disziplinarverfahren zu kontrollieren, die die Kommission durchführt.	The European Treaties assign specific tasks to the Court of Auditors and to the European Court of Justice respectively. The Court of Auditors is responsible for the external control of finances and it is the role of the Court of Justice to oversee the disciplinary procedures pursued by the Commission should the need arise.
Es würde in den Augen der Kommission zu Interessenskonflikten führen, wenn die Höfe direkt in die internen Verfahren der Kommission involviert wären.	As the Commission sees it, it would lead to conflicts of interest if the Courts were to be directly involved in the Commission' s internal procedures.
Die Kommission weist im Übrigen darauf hin, dass in allen internationalen Organisationen die Institutionen selbst für die Disziplinierung ihres Personals verantwortlich sind.	The Commission would also point out that, in all international organisations, it is the institutions themselves that are responsible for disciplining their staff.
Nach der festen Meinung der Kommission sollte dies auch für die Europäische Kommission gelten.	The Commission is convinced that the same should apply here.
Selbstverständlich besteht Handlungsbedarf.	Naturally, there is a need for action.
Das ist ja nun objektiv erkennbar gewesen.	That much is obvious having viewed the matter objectively.
Noch vor Jahresende haben wir die Vorschläge beschlossen, die Herr Bösch erwähnt hat, die sich jetzt im Konsultationsverfahren befinden.	We adopted the proposals that are now undergoing the consultation procedure, and which Mr Bösch mentioned, even before the end of the year.
Dabei geht es einmal um Schritte, die direkt unternommen werden können, ohne Änderung des Statuts, und zweitens um Schritte, die eine Änderung des Personalstatuts fordern, also etwas mehr Zeit für die Umsetzung bedürfen.	Firstly, we are talking in terms of steps that can be taken directly, without changing the statute, and secondly, there are steps that will require amendment of the personnel statute, and will therefore take a little longer to implement.
Für die ersten Schritte ist insbesondere die Einrichtung eines Untersuchungs- und Disziplinarbüros bei der Generaldirektion Personal und Verwaltung wichtig.	As far as the first steps are concerned, it is absolutely vital to set up an investigative and disciplinary bureau within the Directorate-General for Personnel and Administration.
Auf Ihre Frage darf ich mitteilen, dass stets angefragt wird, ob OLAF bereits in dem Verfahren tätig ist oder beabsichtigt, in dem Verfahren tätig zu sein, bevor dieses Büro tätig wird.	In response to your query, I can tell you that the question is constantly raised as to whether OLAF is already involved in the procedure or intending to become involved before this bureau starts work.
Nur wenn OLAF dies verneint, wird dieses Büro tätig.	Only if OLAF answers this in the negative will this bureau take action.
Die Situationen können sehr unterschiedlich sein.	The scenarios can vary a great deal.
Ich will ein Beispiel nennen: sexuelle Belästigung am Arbeitsplatz.	I would like to cite an example: sexual harassment in the workplace.
Da OLAF in einem solchen Fall vielleicht wohl nicht tätig wird, ist natürlich eine Verwaltungsuntersuchung oder ein Disziplinarverfahren notwendig.	Since OLAF may well not be called in to deal with such cases, it would, of course, be necessary to invoke an administrative investigation or a disciplinary procedure.
Es sind also verschiedene Bereiche denkbar.	So various areas come to mind.
Ich denke, es ist sehr gut, komplementär vorzugehen.	I think it is an excellent idea to take a complementary approach.
Es geht nicht darum, quasi Aufgaben von OLAF abzuziehen oder das Aufgabenfeld von OLAF, wie es vom Parlament und vom Rat bestimmt worden ist, zu unterminieren, sondern hier ist die Vorrangigkeit der OLAF-Untersuchung gegeben.	We are not about to strip OLAF of its tasks, as it were, or undermine its remit, which was determined by Parliament and the Council, because OLAF investigations take precedence here, and that is a fact.
Zweitens ist es sehr wichtig, dass der Vorsitz im Disziplinarrat von einem externen Sachkundigen wahrgenommen wird.	Secondly, it is very important for the disciplinary council to be chaired by an external expert.
Dieses macht deutlich, dass die Kommission faire und objektive Disziplinarverfahren durchführen will.	This would demonstrate that the Commission is keen to implement fair and objective disciplinary procedures.
Noch einige Worte zu Ihren kritischen Anmerkungen zur Außenpolitik.	I have just a few more words to say about your critical comments on foreign policy.
Frau Theato erwähnte den Abbau der ausstehenden Verpflichtungen.	Mrs Theato mentioned the need to reduce outstanding commitments.
